Date,Tx
2019-06-25,0.0
2019-06-26,146.0
2019-06-27,136.0
2019-06-28,251.0
2019-06-29,729.0
2019-06-30,50.0
2019-07-01,74.0
2019-07-02,110.0
2019-07-03,513.0
2019-07-04,1224.0
2019-07-05,4018.0
2019-07-06,30770.0
2019-07-07,2282.0
2019-07-08,20388.0
2019-07-09,27965.0
2019-07-10,22470.0
2019-07-11,7104.0
2019-07-12,6409.0
2019-07-13,8652.0
2019-07-14,6066.0
2019-07-15,5631.0
2019-07-16,3996.0
2019-07-17,4921.0
2019-07-18,5415.0
2019-07-19,5735.0
2019-07-20,4913.0
2019-07-21,6588.0
2019-07-22,9570.0
2019-07-23,12382.0
2019-07-24,10676.0
2019-07-25,6301.0
2019-07-26,7523.0
2019-07-27,5132.0
2019-07-28,4006.0
2019-07-29,6555.0
2019-07-30,5076.0
2019-07-31,12167.0
2019-08-01,13512.0
2019-08-02,23447.0
2019-08-03,18033.0
2019-08-04,9457.0
2019-08-05,13060.0
2019-08-06,9794.0
2019-08-07,13927.0
2019-08-08,12900.0
2019-08-09,11764.0
2019-08-10,6886.0
2019-08-11,6857.0
2019-08-12,549284.0
2019-08-13,1739724.0
2019-08-14,1698751.0
2019-08-15,1336223.0
2019-08-16,10869.0
2019-08-17,924.0
2019-08-18,1084.0
2019-08-19,48462.0
2019-08-20,6805.0
2019-08-21,186685.0
2019-08-22,61138.0
2019-08-23,139568.0
2019-08-24,84895.0
2019-08-25,69222.0
2019-08-26,54227.0
2019-08-27,29496.0
2019-08-28,39103.0
2019-08-29,32759.0
2019-08-30,30092.0
2019-08-31,18915.0
2019-09-01,19508.0
2019-09-02,62400.0
2019-09-03,59286.0
2019-09-04,62124.0
2019-09-05,43366.0
2019-09-06,27535.0
2019-09-07,16595.0
2019-09-08,30518.0
2019-09-09,65422.0
2019-09-10,64548.0
2019-09-11,807096.0
2019-09-12,417677.0
2019-09-13,34772.0
2019-09-14,18646.0
2019-09-15,20169.0
2019-09-16,41426.0
2019-09-17,33630.0
2019-09-18,37349.0
2019-09-19,30546.0
2019-09-20,25515.0
2019-09-21,35297.0
2019-09-22,39385.0
2019-09-23,105450.0
2019-09-24,69473.0
2019-09-25,71925.0
2019-09-26,87100.0
2019-09-27,83509.0
2019-09-28,80650.0
2019-09-29,71666.0
2019-09-30,72465.0
2019-10-01,78913.0
2019-10-02,83740.0
2019-10-03,61475.0
2019-10-04,86218.0
2019-10-05,77210.0
2019-10-06,68750.0
2019-10-07,86370.0
2019-10-08,73480.0
2019-10-09,69644.0
2019-10-10,60634.0
2019-10-11,86093.0
2019-10-12,84927.0
2019-10-13,79532.0
2019-10-14,611092.0
2019-10-15,95227.0
2019-10-16,104159.0
2019-10-17,104996.0
2019-10-18,100886.0
2019-10-19,100987.0
2019-10-20,116299.0
2019-10-21,143367.0
2019-10-22,138713.0
2019-10-23,183973.0
2019-10-24,158305.0
2019-10-25,157831.0
2019-10-26,145850.0
2019-10-27,168306.0
2019-10-28,276124.0
2019-10-29,289317.0
2019-10-30,286427.0
2019-10-31,382170.0
2019-11-01,332903.0
2019-11-02,296432.0
2019-11-03,332188.0
2019-11-04,355051.0
2019-11-05,312440.0
2019-11-06,448778.0
2019-11-07,451836.0
2019-11-08,451709.0
2019-11-09,436185.0
2019-11-10,459372.0
2019-11-11,508797.0
2019-11-12,774551.0
2019-11-13,1676860.0
2019-11-14,1631691.0
2019-11-15,729364.0
2019-11-16,318991.0
2019-11-17,327143.0
2019-11-18,351270.0
2019-11-19,352212.0
2019-11-20,343737.0
2019-11-21,346642.0
2019-11-22,342452.0
2019-11-23,350583.0
2019-11-24,336718.0
2019-11-25,360089.0
2019-11-26,529046.0
2019-11-27,1221720.0
2019-11-28,514908.0
2019-11-29,230190.0
2019-11-30,241971.0
2019-12-01,228798.0
2019-12-02,960447.0
2019-12-03,632611.0
2019-12-04,228171.0
2019-12-05,215698.0
2019-12-06,213819.0
2019-12-07,209064.0
2019-12-08,196876.0
2019-12-09,208293.0
2019-12-10,218046.0
2019-12-11,221383.0
2019-12-12,742530.0
2019-12-13,234664.0
2019-12-14,219961.0
2019-12-15,208274.0
2019-12-16,255410.0
2019-12-17,278858.0
2019-12-18,277863.0
2019-12-19,252264.0
2019-12-20,252988.0
2019-12-21,260537.0
2019-12-22,262448.0
2019-12-23,274781.0
2019-12-24,444909.0
2019-12-25,345072.0
2019-12-26,413642.0
2019-12-27,403052.0
2019-12-28,374411.0
2019-12-29,331434.0
2019-12-30,350264.0
2019-12-31,310341.0
2020-01-01,276387.0
2020-01-02,215570.0
2020-01-03,220872.0
2020-01-04,240506.0
2020-01-05,192224.0
2020-01-06,231458.0
2020-01-07,284130.0
2020-01-08,318881.0
2020-01-09,441027.0
2020-01-10,496434.0
2020-01-11,484085.0
2020-01-12,333581.0
2020-01-13,317442.0
2020-01-14,396221.0
2020-01-15,353931.0
2020-01-16,356979.0
2020-01-17,320276.0
2020-01-18,260623.0
2020-01-19,296240.0
2020-01-20,319013.0
2020-01-21,764489.0
2020-01-22,565803.0
2020-01-23,618756.0
2020-01-24,623085.0
2020-01-25,568776.0
2020-01-26,506806.0
2020-01-27,544648.0
2020-01-28,617834.0
2020-01-29,520529.0
2020-01-30,472702.0
2020-01-31,740004.0
2020-02-01,434420.0
2020-02-02,431936.0
2020-02-03,763658.0
2020-02-04,459645.0
2020-02-05,486380.0
2020-02-06,595292.0
2020-02-07,493879.0
2020-02-08,419383.0
2020-02-09,360798.0
2020-02-10,271437.0
2020-02-11,287751.0
2020-02-12,299494.0
2020-02-13,271347.0
2020-02-14,230477.0
2020-02-15,288567.0
2020-02-16,243938.0
2020-02-17,296650.0
2020-02-18,286539.0
2020-02-19,337603.0
2020-02-20,323303.0
2020-02-21,263359.0
2020-02-22,284586.0
2020-02-23,243163.0
2020-02-24,256320.0
2020-02-25,290741.0
2020-02-26,277467.0
2020-02-27,409125.0
2020-02-28,378127.0
2020-02-29,261536.0
2020-03-01,272311.0
2020-03-02,245824.0
2020-03-03,257483.0
2020-03-04,334976.0
2020-03-05,269056.0
2020-03-06,283240.0
2020-03-07,283307.0
2020-03-08,285375.0
2020-03-09,262080.0
2020-03-10,273963.0
2020-03-11,294149.0
2020-03-12,277364.0
2020-03-13,252168.0
2020-03-14,216111.0
2020-03-15,196429.0
2020-03-16,226649.0
2020-03-17,253069.0
2020-03-18,270400.0
2020-03-19,225285.0
2020-03-20,217125.0
2020-03-21,189326.0
2020-03-22,174870.0
2020-03-23,190150.0
2020-03-24,193323.0
2020-03-25,314144.0
2020-03-26,377833.0
2020-03-27,254604.0
2020-03-28,209846.0
2020-03-29,180619.0
2020-03-30,171211.0
2020-03-31,223794.0
2020-04-01,220823.0
2020-04-02,258104.0
2020-04-03,294293.0
2020-04-04,281026.0
2020-04-05,269175.0
2020-04-06,284228.0
2020-04-07,284357.0
2020-04-08,354284.0
2020-04-09,363514.0
2020-04-10,396974.0
2020-04-11,357096.0
2020-04-12,164623.0
2020-04-13,164640.0
2020-04-14,264755.0
2020-04-15,183775.0
2020-04-16,193105.0
2020-04-17,192112.0
2020-04-18,193753.0
2020-04-19,181459.0
2020-04-20,219280.0
2020-04-21,207223.0
2020-04-22,192294.0
2020-04-23,193894.0
2020-04-24,203810.0
2020-04-25,230225.0
2020-04-26,228113.0
2020-04-27,203617.0
2020-04-28,253221.0
2020-04-29,885156.0
2020-04-30,434792.0
2020-05-01,186890.0
2020-05-02,155747.0
2020-05-03,210700.0
2020-05-04,270030.0
2020-05-05,108515.0
2020-05-06,185964.0
2020-05-07,227466.0
2020-05-08,234138.0
2020-05-09,140634.0
2020-05-10,166831.0
2020-05-11,212950.0
2020-05-12,198863.0
2020-05-13,190345.0
2020-05-14,179223.0
2020-05-15,135788.0
